rssi_timestamp,entry_type,image_filename,marker_id,x,y,z,ransac_threshold,filter_type,is_global_position,marker_count,images_processed,successful_images,ransac_population,is_ransac_excluded,image_timestamp
1762307594748,IMAGE,image_0041_1762307594178.matphoto,5,1.3164787318758342,21.270168996673206,1.411702068589132,,,false,1,4,4,,false,1.762307594178E12
1762307594748,IMAGE,image_0041_1762307594178.matphoto,1,1.2633984566565895,21.20608093247415,1.4442984308876803,,,false,1,4,4,,false,1.762307594178E12
1762307594748,IMAGE,image_0043_1762307594711.matphoto,32,1.2458155462969234,20.89540007437774,1.4066114668193932,,,false,1,4,4,,true,1.762307594711E12
1762307594748,IMAGE,image_0043_1762307594711.matphoto,8,1.3095931205531515,20.907257856939793,1.4157245923177824,,,false,1,4,4,,true,1.762307594711E12
1762307594748,IMAGE,image_0043_1762307594711.matphoto,5,1.2221647696266598,20.935885093097284,1.3958586129150112,,,false,1,4,4,,true,1.762307594711E12
1762307594748,IMAGE,image_0043_1762307594711.matphoto,29,1.2916025379372296,20.8649372614642,1.3753389980158486,,,false,1,4,4,,true,1.762307594711E12
1762307594748,IMAGE,image_0043_1762307594711.matphoto,1,1.2780545556935843,20.919574730748696,1.4258890114531295,,,false,1,4,4,,true,1.762307594711E12
1762307594960,GLOBAL,,-1,1.29916382520137,21.235667713659986,1.417931050939648,0.2,WEIGHTED_MEDIAN,true,13,3,3,10,false,
1762307594960,IMAGE,image_0042_1762307594440.matphoto,38,1.3120272720570676,21.11213196719142,1.4069413978824792,,,false,1,3,3,,false,1.76230759444E12
1762307594960,IMAGE,image_0042_1762307594440.matphoto,8,1.3373152471174428,21.137162425706485,1.417931050939648,,,false,1,3,3,,false,1.76230759444E12
1762307594960,IMAGE,image_0041_1762307594178.matphoto,38,1.2746895014915889,21.278673492157587,1.4202880842008512,,,false,1,3,3,,false,1.762307594178E12
1762307594960,IMAGE,image_0041_1762307594178.matphoto,8,1.2988954590745707,21.3095982967783,1.42644510540714,,,false,1,3,3,,false,1.762307594178E12
1762307594960,IMAGE,image_0041_1762307594178.matphoto,32,1.2834545948836282,21.235667713659986,1.3963743483487958,,,false,1,3,3,,false,1.762307594178E12
1762307594960,IMAGE,image_0041_1762307594178.matphoto,29,1.29916382520137,21.258775659119053,1.3932623313296926,,,false,1,3,3,,false,1.762307594178E12
1762307594960,IMAGE,image_0041_1762307594178.matphoto,5,1.3164787318758342,21.270168996673206,1.411702068589132,,,false,1,3,3,,false,1.762307594178E12
1762307594960,IMAGE,image_0041_1762307594178.matphoto,1,1.2633984566565895,21.20608093247415,1.4442984308876803,,,false,1,3,3,,false,1.762307594178E12
1762307594960,IMAGE,image_0043_1762307594711.matphoto,32,1.2458155462969234,20.89540007437774,1.4066114668193932,,,false,1,3,3,,true,1.762307594711E12
1762307594960,IMAGE,image_0043_1762307594711.matphoto,8,1.3095931205531515,20.907257856939793,1.4157245923177824,,,false,1,3,3,,true,1.762307594711E12
1762307594960,IMAGE,image_0043_1762307594711.matphoto,5,1.2221647696266598,20.935885093097284,1.3958586129150112,,,false,1,3,3,,false,1.762307594711E12
1762307594960,IMAGE,image_0043_1762307594711.matphoto,29,1.2916025379372296,20.8649372614642,1.3753389980158486,,,false,1,3,3,,true,1.762307594711E12
1762307594960,IMAGE,image_0043_1762307594711.matphoto,1,1.2780545556935843,20.919574730748696,1.4258890114531295,,,false,1,3,3,,false,1.762307594711E12
1762307594992,GLOBAL,,-1,1.29916382520137,21.235667713659986,1.417931050939648,0.2,WEIGHTED_MEDIAN,true,17,4,4,10,false,
1762307594992,IMAGE,image_0042_1762307594440.matphoto,38,1.3120272720570676,21.11213196719142,1.4069413978824792,,,false,1,4,4,,false,1.76230759444E12
1762307594992,IMAGE,image_0042_1762307594440.matphoto,8,1.3373152471174428,21.137162425706485,1.417931050939648,,,false,1,4,4,,false,1.76230759444E12
1762307594992,IMAGE,image_0041_1762307594178.matphoto,38,1.2746895014915889,21.278673492157587,1.4202880842008512,,,false,1,4,4,,false,1.762307594178E12
1762307594992,IMAGE,image_0041_1762307594178.matphoto,8,1.2988954590745707,21.3095982967783,1.42644510540714,,,false,1,4,4,,false,1.762307594178E12
