point,real_x,real_y,real_z,image_name,marker_id,x,y,z,ransac_threshold,filter_type,is_global_position,marker_count,total_images_processed,successful_images,ransac_population,is_ransac_excluded
p06,1.58,8.4,1.5,1761874511705.matphoto,30,1.7247866447970277,8.271884935574787,1.437179537673015,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874511705.matphoto,2,1.774299675529646,8.303892252463234,1.291649573772022,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874511705.matphoto,21,-0.061795516958921,8.169862936369906,2.6149065645644085,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874692962.matphoto,35,1.4617623525837244,8.418146161061905,1.5163440567099062,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874692962.matphoto,39,1.4869082218549772,8.406498612042117,1.496106901262861,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874692962.matphoto,16,1.5029357408022015,8.397256501211539,1.506869022398198,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874692962.matphoto,12,1.482924701790764,8.431730649216115,1.506468298625287,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874692962.matphoto,17,1.5038051990411287,8.426227229849573,1.4980796908090048,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874692962.matphoto,26,1.459091505657654,8.452194125846155,1.4588194598890811,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874692962.matphoto,31,1.4456052734505107,8.591869331351129,1.4312134873812352,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874697964.matphoto,39,1.4793451463064922,8.40244922263346,1.4497865449490706,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874697964.matphoto,16,1.497092637845293,8.42735652939697,1.502367859105914,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874697964.matphoto,17,1.5031432297390883,8.44692187108174,1.499451825550378,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874697964.matphoto,31,1.4476394628194191,8.488153908619914,1.5373737559052203,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874702989.matphoto,35,1.4788710838977217,8.41046235482653,1.5092368921543846,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874702989.matphoto,12,1.5041462134903998,8.417431618077517,1.5010756051713026,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874702989.matphoto,26,1.4691555567903385,8.432513599746692,1.4710688733352124,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874702989.matphoto,31,1.4254745030374856,20.749486578721616,1.6236678754749707,,,False,1,,6,,True
p07,0.94,9.8,1.5,,-1,0.9634858029043216,9.891353416630295,1.5184983701071273,0.2,WEIGHTED_MEDIAN,True,29,6.0,6,23.0,
p07,0.94,9.8,1.5,1761875713382.matphoto,34,1.008221195672509,9.750487764747191,1.466355994538628,,,False,1,,6,,False
p07,0.94,9.8,1.5,1761875713382.matphoto,14,1.0549505179236176,9.767944175627296,1.4902217116111889,,,False,1,,6,,False
p07,0.94,9.8,1.5,1761875713382.matphoto,33,1.0651184467434431,9.853348720068048,1.3260903759048197,,,False,1,,6,,False
p07,0.94,9.8,1.5,1761875713382.matphoto,30,1.708481813695658,9.665953113660091,1.388555647956204,,,False,1,,6,,True
p07,0.94,9.8,1.5,1761875713382.matphoto,28,0.988910810126428,9.711390321694411,1.4791952523087606,,,False,1,,6,,False
p07,0.94,9.8,1.5,1761875713382.matphoto,2,2.143774068471708,9.680876117068108,1.0218800106146022,,,False,1,,6,,True
p07,0.94,9.8,1.5,1761875713382.matphoto,25,1.138630467431072,9.71205383441277,1.4659977560804838,,,False,1,,6,,False
p07,0.94,9.8,1.5,1761875718412.matphoto,34,1.0087743699885658,9.779577084518408,1.4734335876412796,,,False,1,,6,,False
p07,0.94,9.8,1.5,1761875718412.matphoto,14,1.0597646036861634,9.785820081596317,1.4872032672751332,,,False,1,,6,,False
p07,0.94,9.8,1.5,1761875718412.matphoto,28,0.99964874427699,9.72934811939408,1.4786622824057056,,,False,1,,6,,False
p07,0.94,9.8,1.5,1761875718412.matphoto,30,1.233871710612242,9.7574487392721,1.3495284911382064,,,False,1,,6,,True
p07,0.94,9.8,1.5,1761875718412.matphoto,2,-0.145324697946456,9.829944289674367,1.144320507692768,,,False,1,,6,,True
p07,0.94,9.8,1.5,1761875718412.matphoto,25,1.1433603533760637,9.77680702280022,1.4457401817167923,,,False,1,,6,,False
