timestamp,time,mac_address,rssi,tx_power,aruco_pos_x,aruco_pos_y,aruco_pos_z,laser_pos_x,laser_pos_y,laser_pos_z
1762133321454,2025-11-03 10:28:41.454,68:9E:19:03:95:84,-80,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133321566,2025-11-03 10:28:41.566,68:9E:19:03:95:84,-69,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133321662,2025-11-03 10:28:41.662,68:9E:19:03:95:84,-74,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133321774,2025-11-03 10:28:41.774,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133321875,2025-11-03 10:28:41.875,68:9E:19:03:95:84,-64,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133321974,2025-11-03 10:28:41.974,68:9E:19:03:95:84,-80,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133322085,2025-11-03 10:28:42.085,68:9E:19:03:95:84,-69,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133322184,2025-11-03 10:28:42.184,68:9E:19:03:95:84,-67,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133322286,2025-11-03 10:28:42.286,68:9E:19:03:95:84,-71,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133322392,2025-11-03 10:28:42.392,68:9E:19:03:95:84,-67,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133322498,2025-11-03 10:28:42.498,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133322600,2025-11-03 10:28:42.600,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133322715,2025-11-03 10:28:42.715,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133322813,2025-11-03 10:28:42.813,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323025,2025-11-03 10:28:43.025,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323130,2025-11-03 10:28:43.130,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323233,2025-11-03 10:28:43.233,68:9E:19:03:95:84,-71,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323338,2025-11-03 10:28:43.338,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323551,2025-11-03 10:28:43.551,68:9E:19:03:95:84,-66,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323649,2025-11-03 10:28:43.649,68:9E:19:03:95:84,-75,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323753,2025-11-03 10:28:43.753,68:9E:19:03:95:84,-75,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323854,2025-11-03 10:28:43.854,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133323963,2025-11-03 10:28:43.963,68:9E:19:03:95:84,-71,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133324177,2025-11-03 10:28:44.177,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133324379,2025-11-03 10:28:44.379,68:9E:19:03:95:84,-80,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133324495,2025-11-03 10:28:44.495,68:9E:19:03:95:84,-66,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133324582,2025-11-03 10:28:44.582,68:9E:19:03:95:84,-78,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133324700,2025-11-03 10:28:44.700,68:9E:19:03:95:84,-76,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133324801,2025-11-03 10:28:44.801,68:9E:19:03:95:84,-69,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133324897,2025-11-03 10:28:44.897,68:9E:19:03:95:84,-73,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133325001,2025-11-03 10:28:45.001,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133325111,2025-11-03 10:28:45.111,68:9E:19:03:95:84,-66,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133325314,2025-11-03 10:28:45.314,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133325420,2025-11-03 10:28:45.420,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
